
Gatherer - The Official Magic: The Gathering Card Database

1. Enter a search term 	2. Choose fields                	3. Apply filters 	4. Select output 	Go!

Enter a search term 	Search card name
Rules Text:	Fire at Will deals 3 damage divided as you choose among any number of target attacking or blocking creatures.
Set/Rarity:	Eventide Common
 	 
CardName:	Flame Jab
Cost:	R
Type:	Sorcery
Pow/Tgh:	/
Rules Text:	Flame Jab deals 1 damage to target creature or player. Retrace (You may play this card from your graveyard by discarding a land card in addition to paying its other costs.)
Set/Rarity:	Eventide Common
 	 
CardName:	Flickerwisp
Cost:	1WW
Type:	Creature - Elemental
Pow/Tgh:	3/1
Rules Text:	Flying When Flickerwisp comes into play, remove another target permanent from the game. Return that card to play under its owner's control at end of turn.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Flooded Grove
Cost:	
Type:	Land
Pow/Tgh:	/
Rules Text:	T Add 1 to your mana pool. o(g/u), T Add GG, GU, or UU to your mana pool.
Set/Rarity:	Eventide Rare
 	 
CardName:	Gift of the Deity
Cost:	4(B/G)
Type:	Enchantment - Aura
Pow/Tgh:	/
Rules Text:	Enchant creature As long as enchanted creature is black, it gets +1/+1 and has deathtouch. (Whenever it deals damage to a creature, destroy that creature.) As long as enchanted creature is green, it gets +1/+1 and all creatures able to block it do so.
Set/Rarity:	Eventide Common
 	 
CardName:	Gilder Bairn
Cost:	1(G/U)(G/U)
Type:	Creature - Ouphe
Pow/Tgh:	1/3
Rules Text:	2o(g/u), oQ: For each counter on target permanent, put another of those counters on that permanent. (oQ is the untap symbol.)
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Glamerdye
Cost:	1U
Type:	Instant
Pow/Tgh:	/
Rules Text:	Change the text of target spell or permanent by replacing all instances of one color word with another. Retrace (You may play this card from your graveyard by discarding a land card in addition to paying its other costs.)
Set/Rarity:	Eventide Rare
 	 
CardName:	Glen Elendra Archmage
Cost:	3U
Type:	Creature - Faerie Wizard
Pow/Tgh:	2/2
Rules Text:	Flying U, Sacrifice Glen Elendra Archmage: Counter target noncreature spell. Persist (When this creature is put into a graveyard from play, if it had no -1/-1 counters on it, return it to play under its owner's control with a -1/-1 counter on it.)
Set/Rarity:	Eventide Rare
 	 
CardName:	Grazing Kelpie
Cost:	3(G/U)
Type:	Creature - Beast
Pow/Tgh:	2/3
Rules Text:	o(g/u), Sacrifice Grazing Kelpie: Put target card in a graveyard on the bottom of its owner's library. Persist (When this creature is put into a graveyard from play, if it had no -1/-1 counters on it, return it to play under its owner's control with a -1/-1 counter on it.)
Set/Rarity:	Eventide Common
 	 
CardName:	Groundling Pouncer
Cost:	1(G/U)
Type:	Creature - Faerie
Pow/Tgh:	2/1
Rules Text:	o(g/u): Groundling Pouncer gets +1/+3 and gains flying until end of turn. Play this ability only once each turn and only if an opponent controls a creature with flying.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Gwyllion Hedge-Mage
Cost:	2(W/B)
Type:	Creature - Hag Wizard
Pow/Tgh:	2/2
Rules Text:	When Gwyllion Hedge-Mage comes into play, if you control two or more Plains, you may put a 1/1 white Kithkin Soldier creature token into play. When Gwyllion Hedge-Mage comes into play, if you control two or more Swamps, you may put a -1/-1 counter on target creature.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Hag Hedge-Mage
Cost:	2(B/G)
Type:	Creature - Hag Shaman
Pow/Tgh:	2/2
Rules Text:	When Hag Hedge-Mage comes into play, if you control two or more Swamps, you may have target player discard a card. When Hag Hedge-Mage comes into play, if you control two or more Forests, you may put target card in your graveyard on top of your library.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Hallowed Burial
Cost:	3WW
Type:	Sorcery
Pow/Tgh:	/
Rules Text:	Put all creatures on the bottom of their owners' libraries.
Set/Rarity:	Eventide Rare
 	 
CardName:	Harvest Gwyllion
Cost:	2(W/B)(W/B)
Type:	Creature - Hag
Pow/Tgh:	2/4
Rules Text:	Wither (This deals damage to creatures in the form of -1/-1 counters.)
Set/Rarity:	Eventide Common
 	 
CardName:	Hatchet Bully
Cost:	3R
Type:	Creature - Goblin Warrior
Pow/Tgh:	3/3
Rules Text:	2R, T, Put a -1/-1 counter on a creature you control: Hatchet Bully deals 2 damage to target creature or player.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Hateflayer
Cost:	5RR
Type:	Creature - Elemental
Pow/Tgh:	5/5
Rules Text:	Wither (This deals damage to creatures in the form of -1/-1 counters.) 2R, oQ: Hateflayer deals damage equal to its power to target creature or player. (oQ is the untap symbol.)
Set/Rarity:	Eventide Rare
 	 
CardName:	Hearthfire Hobgoblin
Cost:	(R/W)(R/W)(R/W)
Type:	Creature - Goblin Soldier
Pow/Tgh:	2/2
Rules Text:	Double strike
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Heartlash Cinder
Cost:	1R
Type:	Creature - Elemental Warrior
Pow/Tgh:	1/1
Rules Text:	Haste Chroma - When Heartlash Cinder comes into play, it gets +X/+0 until end of turn, where X is the number of red mana symbols in the mana costs of permanents you control.
Set/Rarity:	Eventide Common
 	 
CardName:	Helix Pinnacle
Cost:	G
Type:	Enchantment
Pow/Tgh:	/
Rules Text:	Shroud X: Put X tower counters on Helix Pinnacle. At the beginning of your upkeep, if there are 100 or more tower counters on Helix Pinnacle, you win the game.
Set/Rarity:	Eventide Rare
 	 
CardName:	Hobgoblin Dragoon
Cost:	2(R/W)
Type:	Creature - Goblin Knight
Pow/Tgh:	1/2
Rules Text:	Flying, first strike
Set/Rarity:	Eventide Common
 	 
CardName:	Hoof Skulkin
Cost:	3
Type:	Artifact Creature - Scarecrow
Pow/Tgh:	2/2
Rules Text:	3: Target green creature gets +1/+1 until end of turn.
Set/Rarity:	Eventide Common
 	 
CardName:	Hotheaded Giant
Cost:	3R
Type:	Creature - Giant Warrior
Pow/Tgh:	4/4
Rules Text:	Haste Hotheaded Giant comes into play with two -1/-1 counters on it unless you played another red spell this turn.
Set/Rarity:	Eventide Common
 	 
CardName:	Idle Thoughts
Cost:	3U
Type:	Enchantment
Pow/Tgh:	/
Rules Text:	2: Draw a card if you have no cards in hand.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Impelled Giant
Cost:	4RR
Type:	Creature - Giant Warrior
Pow/Tgh:	3/3
Rules Text:	Trample Tap an untapped red creature you control other than Impelled Giant: Impelled Giant gets +X/+0 until end of turn, where X is the power of the creature tapped this way.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Indigo Faerie
Cost:	1U
Type:	Creature - Faerie Wizard
Pow/Tgh:	1/1
Rules Text:	Flying U: Target permanent becomes blue in addition to its other colors until end of turn.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Inside Out
Cost:	1(U/R)
Type:	Instant
Pow/Tgh:	/
Rules Text:	Switch target creature's power and toughness until end of turn. Draw a card.
Set/Rarity:	Eventide Common
 	 
CardName:	Inundate
Cost:	3UUU
Type:	Sorcery
Pow/Tgh:	/
Rules Text:	Return all nonblue creatures to their owners' hands.
Set/Rarity:	Eventide Rare
 	 
CardName:	Invert the Skies
Cost:	3(G/U)
Type:	Instant
Pow/Tgh:	/
Rules Text:	Creatures your opponents control lose flying until end of turn if G was spent to play Invert the Skies, and creatures you control gain flying until end of turn if U was spent to play it. (Do both if GU was spent.)
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Jawbone Skulkin
Cost:	1
Type:	Artifact Creature - Scarecrow
Pow/Tgh:	1/1
Rules Text:	2: Target red creature gains haste until end of turn.
Set/Rarity:	Eventide Common
 	 
CardName:	Kithkin Spellduster
Cost:	4W
Type:	Creature - Kithkin Wizard
Pow/Tgh:	2/3
Rules Text:	Flying 1W, Sacrifice Kithkin Spellduster: Destroy target enchantment. Persist (When this creature is put into a graveyard from play, if it had no -1/-1 counters on it, return it to play under its owner's control with a -1/-1 counter on it.)
Set/Rarity:	Eventide Common
 	 
CardName:	Kithkin Zealot
Cost:	1W
Type:	Creature - Kithkin Cleric
Pow/Tgh:	1/3
Rules Text:	When Kithkin Zealot comes into play, you gain 1 life for each black and/or red permanent target opponent controls.
Set/Rarity:	Eventide Common
 	 
CardName:	Leering Emblem
Cost:	2
Type:	Artifact - Equipment
Pow/Tgh:	/
Rules Text:	Whenever you play a spell, equipped creature gets +2/+2 until end of turn. Equip 2
Set/Rarity:	Eventide Rare
 	 
CardName:	Light from Within
Cost:	2WW
Type:	Enchantment
Pow/Tgh:	/
Rules Text:	Chroma - Each creature you control gets +1/+1 for each white mana symbol in its mana cost.
Set/Rarity:	Eventide Rare
 	 
CardName:	Lingering Tormentor
Cost:	3B
Type:	Creature - Spirit
Pow/Tgh:	2/2
Rules Text:	Fear Persist (When this creature is put into a graveyard from play, if it had no -1/-1 counters on it, return it to play under its owner's control with a -1/-1 counter on it.)
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Loyal Gyrfalcon
Cost:	3W
Type:	Creature - Bird
Pow/Tgh:	3/3
Rules Text:	Defender, flying Whenever you play a white spell, Loyal Gyrfalcon loses defender until end of turn.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Marshdrinker Giant
Cost:	3GG
Type:	Creature - Giant Warrior
Pow/Tgh:	4/3
Rules Text:	When Marshdrinker Giant comes into play, destroy target Island or Swamp an opponent controls.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Merrow Bonegnawer
Cost:	B
Type:	Creature - Merfolk Rogue
Pow/Tgh:	1/1
Rules Text:	T Target player removes a card in his or her graveyard from the game. Whenever you play a black spell, you may untap Merrow Bonegnawer.
Set/Rarity:	Eventide Common
 	 
CardName:	Merrow Levitator
Cost:	3U
Type:	Creature - Merfolk Wizard
Pow/Tgh:	2/3
Rules Text:	T Target creature gains flying until end of turn. Whenever you play a blue spell, you may untap Merrow Levitator.
Set/Rarity:	Eventide Common
 	 
CardName:	Mindwrack Liege
Cost:	3(U/R)(U/R)(U/R)
Type:	Creature - Horror
Pow/Tgh:	4/4
Rules Text:	Other blue creatures you control get +1/+1. Other red creatures you control get +1/+1. o(u/r)o(u/r)o(u/r)o(u/r): You may put a blue or red creature card from your hand into play.
Set/Rarity:	Eventide Rare
 	 
CardName:	Mirror Sheen
Cost:	1(U/R)(U/R)
Type:	Enchantment
Pow/Tgh:	/
Rules Text:	1o(u/r)o(u/r): Copy target instant or sorcery spell that targets you. You may choose new targets for the copy.
Set/Rarity:	Eventide Rare
 	 
CardName:	Monstrify
Cost:	3G
Type:	Sorcery
Pow/Tgh:	/
Rules Text:	Target creature gets +4/+4 until end of turn. Retrace (You may play this card from your graveyard by discarding a land card in addition to paying its other costs.)
Set/Rarity:	Eventide Common
 	 
CardName:	Moonhold
Cost:	2(R/W)
Type:	Instant
Pow/Tgh:	/
Rules Text:	Target player can't play land cards this turn if R was spent to play Moonhold and can't play creature cards this turn if W was spent to play it. (Do both if RW was spent.)
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Murkfiend Liege
Cost:	2(G/U)(G/U)(G/U)
Type:	Creature - Horror
Pow/Tgh:	4/4
Rules Text:	Other green creatures you control get +1/+1. Other blue creatures you control get +1/+1. Untap all green and/or blue creatures you control during each other player's untap step.
Set/Rarity:	Eventide Rare
 	 
CardName:	Necroskitter
Cost:	1BB
Type:	Creature - Elemental
Pow/Tgh:	1/4
Rules Text:	Wither (This deals damage to creatures in the form of -1/-1 counters.) Whenever a creature an opponent controls with a -1/-1 counter on it is put into a graveyard, you may return that card to play under your control.
Set/Rarity:	Eventide Rare
 	 
CardName:	Needle Specter
Cost:	1BB
Type:	Creature - Specter
Pow/Tgh:	1/1
Rules Text:	Flying Wither (This deals damage to creatures in the form of -1/-1 counters.) Whenever Needle Specter deals combat damage to a player, that player discards that many cards.
Set/Rarity:	Eventide Rare
 	 
CardName:	Nettle Sentinel
Cost:	G
Type:	Creature - Elf Warrior
Pow/Tgh:	2/2
Rules Text:	Nettle Sentinel doesn't untap during your untap step. Whenever you play a green spell, you may untap Nettle Sentinel.
Set/Rarity:	Eventide Common
 	 
CardName:	Nightmare Incursion
Cost:	5B
Type:	Sorcery
Pow/Tgh:	/
Rules Text:	Search target player's library for up to X cards, where X is the number of Swamps you control, and remove them from the game. Then that player shuffles his or her library.
Set/Rarity:	Eventide Rare
 	 
CardName:	Nightsky Mimic
